,country,year,d_riot,preds_proba,preds
178,Chile,2023,1,0.8178333966248638,1
179,China,2018,1,0.5498498740729969,1
180,China,2019,1,0.683212111320113,1
181,China,2020,1,0.6893583455231183,1
182,China,2021,1,0.6889987129554156,1
183,China,2022,1,0.6705557498887895,1
184,China,2023,1,0.6944142447356985,1
185,Colombia,2018,1,0.8312844006856153,1
186,Colombia,2019,1,0.9019612887801285,1
187,Colombia,2020,1,0.8933004231699976,1
188,Colombia,2021,1,0.8890589305360335,1
189,Colombia,2022,1,0.8818989479901636,1
190,Colombia,2023,1,0.8876553045017823,1
191,Comoros,2020,0,0.42215505808078885,0
192,Comoros,2021,0,0.4084046903691856,0
193,Comoros,2022,1,0.4230559721564594,0
194,Comoros,2023,0,0.5561493956081145,1
195,Costa Rica,2018,1,0.709392116087733,1
196,Costa Rica,2019,1,0.7279886616411688,1
197,Costa Rica,2020,1,0.7269444960388225,1
198,Costa Rica,2021,1,0.7320168878068005,1
199,Costa Rica,2022,1,0.7364006519772431,1
200,Costa Rica,2023,1,0.7531838719613969,1
201,Croatia,2018,0,0.3886914314922561,0
202,Croatia,2019,0,0.4147879229178805,0
203,Croatia,2020,0,0.4586828736410163,0
204,Croatia,2021,1,0.40121148821622943,0
205,Croatia,2022,0,0.6099291520053676,1
206,Croatia,2023,0,0.36710855842194756,0
207,Cuba,2018,0,0.5684713242594728,1
208,Cuba,2019,0,0.5681246226338014,1
209,Cuba,2020,1,0.5724823060290589,1
210,Cuba,2021,1,0.6595551332629203,1
211,Cuba,2022,1,0.654242762270633,1
212,Cuba,2023,1,0.6559663343256803,1
213,Cyprus,2018,1,0.4302349289215788,0
214,Cyprus,2019,1,0.645197614718559,1
215,Cyprus,2020,1,0.6415965058268878,1
216,Cyprus,2021,1,0.639726737549641,1
217,Cyprus,2022,1,0.6448577144831572,1
218,Cyprus,2023,1,0.6524072018081074,1
219,Czechia,2020,0,0.3944512666622121,0
220,Czechia,2021,0,0.3794724484001666,0
221,Czechia,2022,0,0.36459930723194783,0
222,Czechia,2023,1,0.4187734761056482,0
223,DR Congo (Zaire),2017,1,0.8436118894367763,1
224,DR Congo (Zaire),2018,1,0.8303846880750578,1
225,DR Congo (Zaire),2019,1,0.8340923025431536,1
226,DR Congo (Zaire),2020,1,0.8108033469541469,1
227,DR Congo (Zaire),2021,1,0.7593206610793573,1
228,DR Congo (Zaire),2022,1,0.788554383611364,1
229,DR Congo (Zaire),2023,1,0.8127137001121788,1
230,Denmark,2020,1,0.6833836783332214,1
231,Denmark,2021,0,0.7462154142034281,1
232,Denmark,2022,0,0.5202460728756853,1
233,Denmark,2023,0,0.527487426587678,1
234,Djibouti,2017,0,0.09398868310902929,0
235,Djibouti,2018,0,0.07650136289913012,0
236,Djibouti,2019,0,0.08193155216526854,0
237,Djibouti,2020,0,0.09907921296611316,0
238,Djibouti,2021,0,0.14164390924510614,0
239,Djibouti,2022,0,0.15581844122986885,0
240,Djibouti,2023,1,0.16622783954026496,0
241,Dominican Republic,2018,1,0.7126963568912604,1
242,Dominican Republic,2019,1,0.8058251192157639,1
243,Dominican Republic,2020,0,0.7893187672049096,1
244,Dominican Republic,2021,1,0.599598737266047,1
245,Dominican Republic,2022,1,0.7835487992712278,1
246,Dominican Republic,2023,1,0.7874822079667398,1
247,East Timor,2020,0,0.2476027103668772,0
248,East Timor,2021,0,0.2558965290209279,0
249,East Timor,2022,0,0.26690972738510543,0
250,East Timor,2023,0,0.2883129614300315,0
251,Ecuador,2018,1,0.7757989416821989,1
