,country,year,d_ns,preds_proba,preds
230,France,2023,1,0.01068196794822121,0
231,Switzerland,2017,0,0.003469755460897766,0
232,Switzerland,2018,0,0.006536469011452561,0
233,Switzerland,2019,0,0.0022273361526150325,0
234,Switzerland,2020,0,0.0034457834308206773,0
235,Switzerland,2021,0,0.003769373644063089,0
236,Switzerland,2022,0,0.014212931655536444,0
237,Switzerland,2023,0,0.016227772477646802,0
238,Spain,2017,0,0.008530371511957686,0
239,Spain,2018,0,0.010307120404851267,0
240,Spain,2019,0,0.008246843934925314,0
241,Spain,2020,0,0.00818702150014711,0
242,Spain,2021,0,0.0035319287370238982,0
243,Spain,2022,0,0.015280766568892894,0
244,Spain,2023,1,0.026954868763899582,0
245,Portugal,2017,0,0.003467818930048845,0
246,Portugal,2018,0,0.0036555805166404013,0
247,Portugal,2019,0,0.006539916482652623,0
248,Portugal,2020,0,0.0061127966925197,0
249,Portugal,2021,0,0.0061127966925197,0
250,Portugal,2022,0,0.00554951193274503,0
251,Portugal,2023,0,0.013362577276099408,0
252,Germany,2017,0,0.005067082625641443,0
253,Germany,2018,0,0.005035142388421356,0
254,Germany,2019,0,0.005035142388421356,0
255,Germany,2020,0,0.005551486751548137,0
256,Germany,2021,0,0.004650231135908666,0
257,Germany,2022,0,0.005052218864988807,0
258,Germany,2023,0,0.011539808910548028,0
259,Poland,2017,0,0.0040040806229038935,0
260,Poland,2018,0,0.003440795863129223,0
261,Poland,2019,0,0.0027648541513996196,0
262,Poland,2020,0,0.00298235475843815,0
263,Poland,2021,0,0.00298235475843815,0
264,Poland,2022,0,0.00298235475843815,0
265,Poland,2023,0,0.012975187257634095,0
266,Austria,2017,0,0.0007493130183307403,0
267,Austria,2018,0,0.0018823746944193049,0
268,Austria,2019,0,0.0018823746944193049,0
269,Austria,2020,0,0.0018823746944193049,0
270,Austria,2021,0,0.0018823746944193049,0
271,Austria,2022,0,0.007404247117028251,0
272,Austria,2023,0,0.009792735359266159,0
273,Hungary,2017,0,0.005291025311478421,0
274,Hungary,2018,0,0.004414364701476181,0
