,country,year,d_sb,preds_proba,preds
207,Netherlands,2021,0,0.028631393653366567,0
208,Netherlands,2022,0,0.04139144487508525,0
209,Netherlands,2023,0,0.040579342259965366,0
210,Belgium,2017,0,0.41217925371900715,0
211,Belgium,2018,1,0.4485950009990048,0
212,Belgium,2019,0,0.4439442434953519,0
213,Belgium,2020,0,0.24360142398669207,0
214,Belgium,2021,0,0.18516177235579165,0
215,Belgium,2022,0,0.19688942782544827,0
216,Belgium,2023,0,0.22837345129248693,0
217,Luxembourg,2017,0,0.014968343749011145,0
218,Luxembourg,2018,0,0.01345961115828861,0
219,Luxembourg,2019,0,0.017000497641959968,0
220,Luxembourg,2020,0,0.009443690674859699,0
221,Luxembourg,2021,0,0.01090083143458514,0
222,Luxembourg,2022,0,0.07581271169388999,0
223,Luxembourg,2023,0,0.08024323604485771,0
224,France,2017,1,0.24784906818995342,0
225,France,2018,1,0.15875922080651542,0
226,France,2019,0,0.2869045491427565,0
227,France,2020,0,0.25057434233116654,0
228,France,2021,0,0.20760945611108061,0
229,France,2022,0,0.23128888501969164,0
230,France,2023,0,0.24985710858736726,0
231,Switzerland,2017,0,0.0030930372873698908,0
232,Switzerland,2018,0,0.012560697694947744,0
233,Switzerland,2019,0,0.014118131064937032,0
234,Switzerland,2020,0,0.007370531396206758,0
235,Switzerland,2021,0,0.007787128031872427,0
236,Switzerland,2022,0,0.04498829842618317,0
237,Switzerland,2023,0,0.04546153068889214,0
238,Spain,2017,0,0.10853408515559637,0
239,Spain,2018,0,0.09697887458282703,0
240,Spain,2019,0,0.10366113294842935,0
241,Spain,2020,0,0.1495258059948117,0
242,Spain,2021,0,0.12666112527362314,0
243,Spain,2022,0,0.13916187587178513,0
244,Spain,2023,0,0.16599514421813605,0
245,Portugal,2017,0,0.01136726382646379,0
246,Portugal,2018,0,0.010880806432213105,0
247,Portugal,2019,0,0.017267247677416078,0
248,Portugal,2020,0,0.02074359082184693,0
249,Portugal,2021,0,0.025362439512717157,0
250,Portugal,2022,0,0.04957887974850208,0
251,Portugal,2023,0,0.05428606441565238,0
252,Germany,2017,0,0.04498249363039418,0
253,Germany,2018,0,0.08259520586307369,0
254,Germany,2019,0,0.08959007453827238,0
255,Germany,2020,0,0.03919164769828275,0
256,Germany,2021,0,0.038444775069786885,0
257,Germany,2022,0,0.1171197314778111,0
258,Germany,2023,0,0.12656895215949834,0
259,Poland,2017,0,0.0197081414897593,0
260,Poland,2018,0,0.018317975375355032,0
261,Poland,2019,0,0.02496276201252858,0
262,Poland,2020,0,0.02778357458613704,0
263,Poland,2021,0,0.022023144555085236,0
264,Poland,2022,0,0.07304058714535355,0
265,Poland,2023,0,0.06988022849896884,0
266,Austria,2017,0,0.007375457961579683,0
267,Austria,2018,0,0.009453958948589403,0
268,Austria,2019,0,0.0123496320534678,0
269,Austria,2020,0,0.011384407685175001,0
270,Austria,2021,0,0.013610960922608844,0
271,Austria,2022,0,0.062306135474596354,0
272,Austria,2023,0,0.060690250058161435,0
273,Hungary,2017,0,0.008872686390887521,0
274,Hungary,2018,0,0.01669318283751266,0
275,Hungary,2019,0,0.019159822349579823,0
276,Hungary,2020,0,0.021612629226642793,0
277,Hungary,2021,0,0.027296701976322835,0
278,Hungary,2022,0,0.040187933686114,0
279,Hungary,2023,0,0.04628214459949874,0
280,Czechia,2017,0,0.0019401267268735018,0
281,Czechia,2018,0,0.0009974230384070788,0
282,Czechia,2019,0,0.0009959602879681324,0
283,Czechia,2020,0,0.010250924768958909,0
284,Czechia,2021,0,0.002320464927237744,0
285,Czechia,2022,0,0.03261415266210861,0
286,Czechia,2023,0,0.03700956061961247,0
287,Slovakia,2017,0,0.005930271384079905,0
288,Slovakia,2018,0,0.007994176841220235,0
289,Slovakia,2019,0,0.00726368967386898,0
290,Slovakia,2020,0,0.01583845211523186,0
291,Slovakia,2021,0,0.016982371698404185,0
292,Slovakia,2022,0,0.053729867518388395,0
293,Slovakia,2023,0,0.053952290535236244,0
294,Italy,2017,0,0.00678761397877716,0
295,Italy,2018,0,0.01610754992880339,0
296,Italy,2019,0,0.0221184308307479,0
297,Italy,2020,0,0.007816818282291868,0
298,Italy,2021,0,0.007738401764092479,0
299,Italy,2022,0,0.060492908257780004,0
300,Italy,2023,0,0.0519201260005649,0
301,Malta,2017,0,0.024797115989534525,0
302,Malta,2018,0,0.025783904961643806,0
303,Malta,2019,0,0.023106398102687848,0
304,Malta,2020,0,0.022025363932202738,0
305,Malta,2021,0,0.015820759948516977,0
