,country,year,d_osv,preds_proba,preds
222,Luxembourg,2022,0,0.0462160175963562,0
223,Luxembourg,2023,0,0.0462160175963562,0
224,France,2017,0,0.4601751421901872,0
225,France,2018,1,0.42090137547389467,0
226,France,2019,0,0.4106613119658423,0
227,France,2020,0,0.3472250778734701,0
228,France,2021,0,0.3436807314337707,0
229,France,2022,0,0.29447019283544534,0
230,France,2023,1,0.26380858300649535,0
231,Switzerland,2017,0,0.035832732991165475,0
232,Switzerland,2018,0,0.019535280114716332,0
233,Switzerland,2019,0,0.03758244679618175,0
234,Switzerland,2020,0,0.02128007294576878,0
235,Switzerland,2021,0,0.0376633353057123,0
236,Switzerland,2022,0,0.024855795932237263,0
237,Switzerland,2023,0,0.025094569963697463,0
238,Spain,2017,1,0.043674418425206724,0
239,Spain,2018,0,0.19657813436925162,0
240,Spain,2019,0,0.1119700946390338,0
241,Spain,2020,0,0.11606802688692855,0
242,Spain,2021,0,0.11004155094825578,0
243,Spain,2022,0,0.13113145814890975,0
244,Spain,2023,0,0.1368412013429765,0
245,Portugal,2017,0,0.001211549485629757,0
246,Portugal,2018,0,0.017509002362078894,0
247,Portugal,2019,0,0.07337154751460583,0
248,Portugal,2020,0,0.08054338820202603,0
249,Portugal,2021,0,0.07420172987547692,0
250,Portugal,2022,0,0.09188249148285725,0
251,Portugal,2023,0,0.09142880533580955,0
252,Germany,2017,0,0.2862423564051899,0
253,Germany,2018,0,0.11049795922066295,0
254,Germany,2019,0,0.16338827529430838,0
255,Germany,2020,0,0.14596982089310157,0
256,Germany,2021,0,0.15284936257277398,0
257,Germany,2022,0,0.11408442751853988,0
258,Germany,2023,0,0.11996825396707736,0
259,Poland,2017,0,0.0028573614136037846,0
260,Poland,2018,0,0.0010160380856362968,0
261,Poland,2019,0,0.005119003588448454,0
262,Poland,2020,0,0.001082151568348586,0
263,Poland,2021,0,0.0029225925846238354,0
264,Poland,2022,0,0.009345585611145806,0
265,Poland,2023,0,0.008939668033540479,0
266,Austria,2017,0,0.004063915495861683,0
267,Austria,2018,0,0.0025001337845785925,0
268,Austria,2019,0,0.0025089494827985025,0
269,Austria,2020,1,0.0026702522484924503,0
270,Austria,2021,0,0.08649282780914903,0
271,Austria,2022,0,0.050355523598798003,0
272,Austria,2023,0,0.017926430008429427,0
273,Hungary,2017,0,0.0008565002057741524,0
274,Hungary,2018,0,0.0008565002057741524,0
275,Hungary,2019,0,0.0008565002057741524,0
276,Hungary,2020,0,0.0008630068010396433,0
277,Hungary,2021,0,0.0023052845770442755,0
278,Hungary,2022,0,0.021684028402991887,0
279,Hungary,2023,0,0.029326094610808907,0
280,Czechia,2017,0,0.001222490742811646,0
281,Czechia,2018,0,0.016242833218514892,0
282,Czechia,2019,0,0.040360755302242424,0
283,Czechia,2020,0,0.04024698001863148,0
284,Czechia,2021,0,0.07082374769554958,0
285,Czechia,2022,0,0.10575043773704672,0
286,Czechia,2023,0,0.08457519989506963,0
287,Slovakia,2017,0,0.022600461831467286,0
288,Slovakia,2018,0,0.02229365994599812,0
289,Slovakia,2019,0,0.02396070631488673,0
290,Slovakia,2020,0,0.023503912810917838,0
291,Slovakia,2021,0,0.016844050671954106,0
292,Slovakia,2022,0,0.03869953744109904,0
293,Slovakia,2023,0,0.03770094186312609,0
294,Italy,2017,0,0.021910105193749356,0
295,Italy,2018,0,0.03276010480168425,0
296,Italy,2019,0,0.032981323253265304,0
297,Italy,2020,0,0.013171664313092385,0
298,Italy,2021,0,0.04932621607188364,0
299,Italy,2022,0,0.017245941009158338,0
300,Italy,2023,0,0.01689684276905735,0
301,Malta,2017,0,0.0707226189497286,0
302,Malta,2018,0,0.06350522813811717,0
303,Malta,2019,0,0.06493962847029906,0
304,Malta,2020,0,0.04189535548088041,0
305,Malta,2021,0,0.043018893247997896,0
306,Malta,2022,0,0.06645500085858984,0
307,Malta,2023,0,0.07568316435958324,0
308,Albania,2017,0,0.0008674035900890819,0
309,Albania,2018,0,0.020546847084569313,0
310,Albania,2019,0,0.0027304083109040886,0
311,Albania,2020,0,0.02240985180538432,0
