,country,year,d_civil_war,preds_proba,preds
418,Lithuania,2022,0,0.01141807060443017,0
419,Lithuania,2023,0,0.009570716045177475,0
420,Ukraine,2017,0,0.24811594569178055,0
421,Ukraine,2018,0,0.2099701450875197,0
422,Ukraine,2019,0,0.1419134606662485,0
423,Ukraine,2020,0,0.1337366112059931,0
424,Ukraine,2021,0,0.11703208478675335,0
425,Ukraine,2022,0,0.22118740990922575,0
426,Ukraine,2023,0,0.18046663637835011,0
427,Belarus,2017,0,0.00023983754825082133,0
428,Belarus,2018,0,0.00023983754825082133,0
429,Belarus,2019,0,0.00023983754825082133,0
430,Belarus,2020,0,0.04730738535069296,0
431,Belarus,2021,0,0.026382130307590342,0
432,Belarus,2022,0,0.004172409017630487,0
433,Belarus,2023,0,0.0069779980529712194,0
434,Armenia,2017,0,0.012722050659837857,0
435,Armenia,2018,0,0.02723438134775634,0
436,Armenia,2019,0,0.009901616737918324,0
437,Armenia,2020,0,0.016247823062753068,0
438,Armenia,2021,0,0.021761232748233567,0
439,Armenia,2022,0,0.04692710086196786,0
440,Armenia,2023,0,0.08110534271609404,0
441,Georgia,2017,0,0.0013120297495270677,0
442,Georgia,2018,0,0.0010247768473486893,0
443,Georgia,2019,0,0.001980331558827167,0
444,Georgia,2020,0,0.0007862044596061373,0
445,Georgia,2021,0,0.001136045301728792,0
446,Georgia,2022,0,0.00751503021389039,0
447,Georgia,2023,0,0.0130173392749639,0
448,Azerbaijan,2017,0,0.03150343321288168,0
449,Azerbaijan,2018,0,0.031289047844542915,0
450,Azerbaijan,2019,0,0.04003978799123582,0
451,Azerbaijan,2020,1,0.029830895569686565,0
452,Azerbaijan,2021,0,0.08218804099901464,0
453,Azerbaijan,2022,0,0.056250178889105676,0
454,Azerbaijan,2023,0,0.06821942018483906,0
455,Finland,2017,0,0.0,0
456,Finland,2018,0,0.0,0
457,Finland,2019,0,0.0,0
458,Finland,2020,0,0.0,0
459,Finland,2021,0,0.0,0
460,Finland,2022,0,0.005667643380234589,0
461,Finland,2023,0,0.015881578348683235,0
462,Sweden,2017,0,0.00047918965065478557,0
463,Sweden,2018,0,0.00047918965065478557,0
464,Sweden,2019,0,0.00047918965065478557,0
465,Sweden,2020,0,0.00047918965065478557,0
466,Sweden,2021,0,0.00047918965065478557,0
467,Sweden,2022,0,0.006146833030889374,0
468,Sweden,2023,0,0.014362634876724014,0
469,Norway,2017,0,0.0,0
470,Norway,2018,0,0.0,0
471,Norway,2019,0,0.0,0
472,Norway,2020,0,0.0,0
473,Norway,2021,0,0.0,0
474,Norway,2022,0,0.008835827886506217,0
475,Norway,2023,0,0.016668646769233995,0
476,Denmark,2017,0,0.0015016427409800086,0
477,Denmark,2018,0,0.004206883209132161,0
478,Denmark,2019,0,0.004206883209132161,0
479,Denmark,2020,0,0.003312236755097591,0
480,Denmark,2021,0,0.00047918965065478557,0
481,Denmark,2022,0,0.011889320751921444,0
482,Denmark,2023,0,0.02285730742654576,0
483,Iceland,2017,0,0.00013426733397560795,0
484,Iceland,2018,0,7.917128552500093e-05,0
485,Iceland,2019,0,7.917128552500093e-05,0
486,Iceland,2020,0,0.0014875687895961652,0
487,Iceland,2021,0,0.0,0
488,Iceland,2022,0,0.013502115444128633,0
489,Iceland,2023,0,0.06018561945989446,0
490,Cabo Verde,2017,0,0.0013206685750034133,0
491,Cabo Verde,2018,0,0.0016785271566172413,0
492,Cabo Verde,2019,0,0.0031099614830725534,0
493,Cabo Verde,2020,0,0.02088037313259371,0
494,Cabo Verde,2021,0,0.019971108709817012,0
495,Cabo Verde,2022,0,0.042305913215221196,0
496,Cabo Verde,2023,0,0.0894973964746681,0
497,Guinea-Bissau,2017,0,0.010083339933674749,0
498,Guinea-Bissau,2018,0,0.00984350238542393,0
499,Guinea-Bissau,2019,0,0.014549523544528629,0
500,Guinea-Bissau,2020,0,0.0004000822955245386,0
501,Guinea-Bissau,2021,0,0.003429478073799186,0
502,Guinea-Bissau,2022,0,0.019559740628982,0
503,Guinea-Bissau,2023,0,0.08468193382012222,0
504,Equatorial Guinea,2017,0,0.0002741000551437958,0
505,Equatorial Guinea,2018,0,0.00994648060682907,0
506,Equatorial Guinea,2019,0,0.0033414593261194654,0
507,Equatorial Guinea,2020,0,0.0002902454173271238,0
508,Equatorial Guinea,2021,0,0.006139633682814662,0
509,Equatorial Guinea,2022,0,0.009550150799984485,0
510,Equatorial Guinea,2023,0,0.064019299460411,0
511,Gambia,2017,0,0.010041332111541814,0
512,Gambia,2018,0,0.015890720377029353,0
513,Gambia,2019,0,0.008947556904758444,0
514,Gambia,2020,0,0.007669490541851913,0
515,Gambia,2021,0,0.007669490541851913,0
516,Gambia,2022,0,0.03518806670180327,0
517,Gambia,2023,0,0.09055976058840061,0
518,Mali,2017,0,0.06452378985998573,0
519,Mali,2018,0,0.14564265426985923,0
520,Mali,2019,0,0.16453022334141268,0
521,Mali,2020,0,0.16017653935177054,0
522,Mali,2021,0,0.173525220579395,0
523,Mali,2022,1,0.22169293810566026,0
524,Mali,2023,1,0.5571374124293513,1
525,Senegal,2017,0,0.0,0
526,Senegal,2018,0,0.006113211314451767,0
527,Senegal,2019,0,0.006127203961677318,0
528,Senegal,2020,0,0.0063507798743786805,0
529,Senegal,2021,0,0.006230584121484155,0
530,Senegal,2022,0,0.024203822908123965,0
531,Senegal,2023,0,0.09814296984223608,0
532,Benin,2017,0,0.0015519912868748903,0
533,Benin,2018,0,0.002279106140493867,0
534,Benin,2019,0,0.013542390782525211,0
535,Benin,2020,0,0.03841714693063742,0
536,Benin,2021,0,0.04421816847717799,0
537,Benin,2022,0,0.0544470473680709,0
538,Benin,2023,0,0.11081272869165146,0
539,Mauritania,2017,0,0.0,0
540,Mauritania,2018,0,0.0,0
541,Mauritania,2019,0,1.3992647225550985e-05,0
542,Mauritania,2020,0,0.00023756855992691352,0
543,Mauritania,2021,0,0.00011737280703238801,0
544,Mauritania,2022,0,0.030518372003323264,0
545,Mauritania,2023,0,0.18616351139085513,0
546,Niger,2017,0,0.03743721717351687,0
547,Niger,2018,0,0.1065301338617967,0
548,Niger,2019,0,0.02562225098392487,0
549,Niger,2020,0,0.076912227093721,0
550,Niger,2021,0,0.05993252500272292,0
551,Niger,2022,0,0.07227048099606541,0
552,Niger,2023,0,0.24919613423590514,0
553,Ivory Coast,2017,0,0.013223994390605197,0
554,Ivory Coast,2018,0,0.007493019070973666,0
555,Ivory Coast,2019,0,0.00944969585903087,0
556,Ivory Coast,2020,0,0.013307381669513726,0
557,Ivory Coast,2021,0,0.01119990133827174,0
558,Ivory Coast,2022,0,0.03423858140519313,0
559,Ivory Coast,2023,0,0.1310974949474531,0
560,Guinea,2017,0,0.0056077276443526666,0
561,Guinea,2018,0,0.00404201064898489,0
562,Guinea,2019,0,0.0011384703724272559,0
563,Guinea,2020,0,0.00667054487974184,0
564,Guinea,2021,0,0.00667054487974184,0
565,Guinea,2022,0,0.0271483631794117,0
566,Guinea,2023,0,0.14000796460580844,0
567,Burkina Faso,2017,0,0.00023983754825082133,0
568,Burkina Faso,2018,0,0.02806946359843909,0
569,Burkina Faso,2019,0,0.0886774610749321,0
