,country,year,d_protest,preds_proba,preds
186,Colombia,2019,1,0.7712650794279938,1
187,Colombia,2020,1,0.7744194943571117,1
188,Colombia,2021,1,0.7670796649569371,1
189,Colombia,2022,1,0.7522891920029493,1
190,Colombia,2023,1,0.7412773671270663,1
191,Comoros,2020,0,0.33907365957918284,0
192,Comoros,2021,0,0.34115558491815307,0
193,Comoros,2022,0,0.3275107815855601,0
194,Comoros,2023,0,0.3196251743201518,0
195,Costa Rica,2018,1,0.6678152064014251,1
196,Costa Rica,2019,1,0.648290312822662,1
197,Costa Rica,2020,1,0.6416545935961158,1
198,Costa Rica,2021,1,0.6510145615887822,1
199,Costa Rica,2022,1,0.6422441962369775,1
200,Costa Rica,2023,1,0.6201124054261968,1
201,Croatia,2018,1,0.6461109331287956,1
202,Croatia,2019,1,0.6579592575273217,1
203,Croatia,2020,1,0.6868706107443647,1
204,Croatia,2021,1,0.654926004968057,1
205,Croatia,2022,1,0.6396003984090486,1
206,Croatia,2023,1,0.618640135347603,1
207,Cuba,2018,0,0.6466779126147463,1
208,Cuba,2019,0,0.6476755093505056,1
209,Cuba,2020,1,0.6358024834573014,1
210,Cuba,2021,1,0.6112145674533088,1
211,Cuba,2022,1,0.613042530349623,1
212,Cuba,2023,1,0.6066649242692382,1
213,Cyprus,2018,1,0.6733627141783408,1
214,Cyprus,2019,1,0.672639399828596,1
215,Cyprus,2020,1,0.6832472851196572,1
216,Cyprus,2021,1,0.6802976893650299,1
217,Cyprus,2022,1,0.6678704694264359,1
218,Cyprus,2023,1,0.6559607686452775,1
219,Czechia,2020,1,0.6770953505109211,1
220,Czechia,2021,1,0.6710313342971815,1
221,Czechia,2022,1,0.6669025540431026,1
222,Czechia,2023,1,0.6591139568601894,1
223,DR Congo (Zaire),2017,1,0.6855788069327471,1
224,DR Congo (Zaire),2018,1,0.6709244921904797,1
225,DR Congo (Zaire),2019,1,0.6621578462978727,1
226,DR Congo (Zaire),2020,1,0.6655936403447705,1
227,DR Congo (Zaire),2021,1,0.6592207299621503,1
228,DR Congo (Zaire),2022,1,0.639677096368414,1
229,DR Congo (Zaire),2023,1,0.6082889163259524,1
230,Denmark,2020,1,0.6641259640057813,1
231,Denmark,2021,1,0.6647528916286534,1
232,Denmark,2022,1,0.6573988179731595,1
233,Denmark,2023,1,0.6350984395759967,1
234,Djibouti,2017,0,0.08606078063300901,0
235,Djibouti,2018,0,0.08866044716043515,0
236,Djibouti,2019,0,0.09908735170509442,0
237,Djibouti,2020,1,0.09667802650072238,0
238,Djibouti,2021,0,0.12667847929220633,0
239,Djibouti,2022,0,0.1584243526813642,0
240,Djibouti,2023,0,0.17048940280765712,0
241,Dominican Republic,2018,1,0.7097001842753922,1
242,Dominican Republic,2019,0,0.7399559578542931,1
243,Dominican Republic,2020,1,0.7369247125380242,1
244,Dominican Republic,2021,1,0.7441021740492675,1
245,Dominican Republic,2022,1,0.7405185954053712,1
246,Dominican Republic,2023,1,0.7184194432980231,1
247,East Timor,2020,0,0.40675506962580776,0
248,East Timor,2021,0,0.40353091419377046,0
249,East Timor,2022,0,0.39732018920268075,0
250,East Timor,2023,0,0.4051167829415841,0
251,Ecuador,2018,1,0.6928540475380564,1
252,Ecuador,2019,1,0.7071587201867838,1
253,Ecuador,2020,1,0.7389624287283209,1
254,Ecuador,2021,1,0.7320717758768351,1
255,Ecuador,2022,1,0.7276280686020222,1
256,Ecuador,2023,1,0.7272953459272693,1
257,Egypt,2017,1,0.8833267407800061,1
258,Egypt,2018,1,0.877674642274649,1
259,Egypt,2019,1,0.8241159044320108,1
260,Egypt,2020,1,0.807901795027584,1
261,Egypt,2021,1,0.8202983089102923,1
262,Egypt,2022,1,0.7673718542047607,1
263,Egypt,2023,1,0.7283771283987451,1
264,El Salvador,2018,1,0.5884697072581317,1
265,El Salvador,2019,1,0.6057234795889697,1
266,El Salvador,2020,1,0.5912169597512735,1
267,El Salvador,2021,1,0.5850501092822877,1
268,El Salvador,2022,1,0.5951821405376366,1
269,El Salvador,2023,1,0.5951130156676349,1
270,Equatorial Guinea,2017,0,0.06752265173519119,0
271,Equatorial Guinea,2018,0,0.06979174263667302,0
272,Equatorial Guinea,2019,0,0.10561813421402515,0
273,Equatorial Guinea,2020,0,0.13217253754049338,0
274,Equatorial Guinea,2021,0,0.15373329137681271,0
